,URL,N_area_greater_HardCutoff,N_area_greater_floor,N_skin_pix_filled_greater_floor,N_amt_horiz_vert_lines_less_ceil,N_hull_filled_greater_floor,percent_area_gr_HardCutoff,percent_area_gr_floor,percent_area_skinpix_gr_floor,percent_area_horiz_vert_less_ceil,percent_area_hull_filled_gr_floor
81,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/1661938_234942416690297_824414184_n.jpg,21.0,0.0,4.0,0.0,6.0,0.01296142578125,0.0,0.00377685546875,0.0,0.003154296875
82,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/1598859_1409622212621059_20107756_n.jpg,22.0,0.0,1.0,0.0,5.0,0.0130517578125,0.0,0.00248291015625,0.0,0.0045947265625
83,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/1723647_362578507216708_652346351_n.jpg,15.0,1.0,4.0,0.0,2.0,0.02092041015625,0.010400390625,0.01309326171875,0.0,0.01165771484375
84,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/1724866_254552361372864_708176035_n.jpg,21.0,1.0,7.0,0.0,3.0,0.02879638671875,0.00887939453125,0.02031494140625,0.0,0.01027587890625
85,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/1799677_209861602546944_1475099935_n.jpg,32.0,0.0,7.0,0.0,6.0,0.0343994140625,0.0,0.010595703125,0.0,0.00756591796875
86,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/1739841_226808110776290_733421718_n.jpg,52.0,4.0,7.0,0.0,14.0,0.1339794921875,0.09300537109375,0.0427587890625,0.0,0.01759765625
87,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/1530653_261805233984595_2078612258_n.jpg,36.0,5.0,6.0,0.0,12.0,0.06761474609375,0.03724609375,0.0282080078125,0.0,0.03122314453125
88,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/1527594_252419738261317_992670683_n.jpg,37.0,1.0,6.0,0.0,8.0,0.03376953125,0.00541748046875,0.008408203125,0.0,0.0056396484375
89,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/1517085_675568972481600_1625953367_n.jpg,43.0,0.0,8.0,0.0,7.0,0.03979736328125,0.0,0.00897216796875,0.0,0.00694580078125
90,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/924517_226198447552902_1670534840_n.jpg,21.0,6.0,2.0,1.0,3.0,0.08119384765625,0.0702880859375,0.02317138671875,0.02283935546875,0.024052734375
91,http://scontent-b.cdninstagram.com/hphotos-xpf1/t51.2885-15/1515339_237398926432068_1593420895_n.jpg,27.0,0.0,2.0,0.0,1.0,0.01775146484375,0.0,0.00248291015625,0.0,0.00027099609375
92,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/926636_570005076411362_972102909_n.jpg,20.0,0.0,1.0,0.0,7.0,0.01831787109375,0.0,0.001806640625,0.0,0.0073388671875
93,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/1515205_426829577442733_1115405736_n.jpg,28.0,0.0,5.0,0.0,1.0,0.0153515625,0.0,0.0044384765625,0.0,0.00056884765625
94,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/1171974_559818050771824_1223172028_n.jpg,18.0,1.0,6.0,0.0,3.0,0.01770751953125,0.00509521484375,0.00667724609375,0.0,0.0029638671875
